_id;id_local;id_distrito_local;desc_distrito_local;desc_barrio_local;clase_vial_edificio;num_edificio;Cod_Postal;coordenada_x_local;coordenada_y_local;desc_situacion_local;Nombre;id_periodo_terraza;desc_periodo_terraza;id_situacion_terraza;desc_situacion_terraza;Superficie_ES;DESC_CLASE;DESC_NOMBRE;num_terraza;cal_terraza;desc_ubicacion_terraza;hora_ini_LJ_es;hora_fin_LJ_es;hora_ini_LJ_ra;hora_fin_LJ_ra;hora_ini_VS_es;hora_fin_VS_es;hora_ini_VS_ra;hora_fin_VS_ra;mesas_aux_es;mesas_aux_ra;mesas_es;mesas_ra;sillas_es;sillas_ra
7;280067128;20;SAN BLAS-CANILLEJAS ;ROSAS               ;CALLE                   ;177;28022;448900,55;4474755,41;Abierto;SR;2;Estacional;1;Abierta;7,2;CALLE                   ;SOFIA                                             ;177; A;Acera;08:00:00;01:30:00;;;08:00:00;01:30:00;;;0;;5;;10; A
32;270068967;4;SALAMANCA           ;RECOLETOS           ;CALLE                   ;19;28001;441830,59;4475475,52;Abierto;JURUCHA;2;Estacional;1;Abierta;18,38;CALLE                   ;AYALA                                             ;19;  ;Acera;08:00:00;01:30:00;;;08:00:00;01:30:00;;;0;;10;;20;  
33;270403150;4;SALAMANCA           ;GUINDALERA          ;AVENIDA                 ;2;28028;442586,58;4476524,51;Abierto;HONTANARES;1;Anual;1;Abierta;21,06;AVENIDA                 ;AMERICA                                           ;2;  ;Acera;10:00:00;01:00:00;10:00:00;00:00:00;10:00:00;02:30:00;10:00:00;00:00:00;0;0;9;9;27;  
34;270078567;4;SALAMANCA           ;GUINDALERA          ;CALLE                   ;25;28028;442986,58;4476379,5;Abierto;BAR MARISQUERIA LUIS;1;Anual;1;Abierta;11,16;CALLE                   ;ALONSO HEREDIA                                    ;25;  ;Calle peatonal;10:00:00;01:00:00;10:00:00;00:00:00;10:00:00;02:30:00;10:00:00;00:00:00;0;0;4;0;14;  
36;40002021;4;SALAMANCA           ;GUINDALERA          ;CALLE                   ;10;28028;442972,58;4476350,5;Abierto;SAGAR;2;Estacional;1;Abierta;7,2;CALLE                   ;ALONSO HEREDIA                                    ;22;  ;Calle peatonal;10:00:00;00:00:00;;;10:00:00;00:00:00;;;0;;5;;10;  
